Time,Confederação,c20,c19,c18,c17,c16,c15,c14,c13,c12,c11,c10,c9,c8,c7,c6,c5,c4,c3,c2,c1,r20,r19,r18,r17,r16,r15,r14,r13,r12,r11,r10,r9,r8,r7,r6,r5,r4,r3,r2,r1
Zimbábue,CAF,-,-,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,115,115,108,105,108,89,93,96,-,-,-,-,-,-,-,-,-,-,-,-
Andorra,UEFA,-,-,e,-,-,-,-,e,-,e,e,-,e,e,-,e,-,e,e,-,116,116,109,106,109,107,102,87,105,105,105,105,-,-,-,-,-,-,-,-
Guiné,CAF,-,-,e,-,-,-,-,e,15,e,-,-,-,-,-,-,-,-,-,-,117,117,110,101,82,70,66,47,29,29,82,82,-,-,-,-,-,-,-,-
Uzbequistão,AFC,-,e,-,-,e,-,-,e,-,29,-,-,-,e,-,-,e,-,e,-,118,119,113,111,111,83,84,74,67,67,76,74,-,-,-,-,-,-,-,-
Macedônia,UEFA,-,e,-,-,e,-,-,-,e,e,e,e,e,-,e,-,e,-,e,-,119,120,116,115,115,100,101,101,94,94,94,94,-,-,-,-,-,-,-,-
Chipre,UEFA,-,-,e,-,-,-,-,e,-,e,21,e,-,32,16,-,26,-,e,-,120,118,111,108,110,94,92,75,63,63,35,47,47,44,41,52,46,-,-,-
Armênia,UEFA,-,-,e,-,-,-,-,e,-,e,e,e,e,-,e,e,-,e,-,e,121,121,118,117,117,104,107,105,97,97,97,97,-,-,-,-,-,-,-,-
El Salvador,CONCACAF,e,-,e,-,-,-,e,-,e,13,-,e,e,e,e,-,e,e,-,-,122,122,112,109,106,90,88,65,34,34,29,55,-,-,-,-,-,-,-,-
Ruanda,CAF,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,123,120,119,119,115,115,112,-,-,-,-,-,-,-,-,-,-,-,-
Botsuana,CAF,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,124,124,121,120,120,116,116,113,-,-,-,-,-,-,-,-,-,-,-,-
Ilhas Faroe,UEFA,-,e,-,-,e,-,-,-,-,-,-,-,e,-,e,e,-,e,e,-,125,125,125,125,125,125,125,125,-,-,-,-,-,-,-,-,-,-,-,-
Luxemburgo,UEFA,-,e,-,-,e,-,-,-,e,-,e,-,e,-,e,e,-,e,-,e,126,126,126,126,126,126,126,126,107,107,107,107,-,-,-,-,-,-,-,-
San Marino,UEFA,-,-,e,-,-,-,-,-,-,-,-,-,e,e,-,e,-,e,e,-,127,127,127,127,127,127,127,127,-,-,-,-,-,-,-,-,-,-,-,-
